sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call
VBS19245-5563STDY7800333,WA-0195,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19246-5563STDY7800334,WA-0196,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19249-5563STDY7800337,WA-0199,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19250-5563STDY7800338,WA-0200,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19253-5563STDY7800341,WA-0203,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19254-5563STDY7800342,WA-0204,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19257-5563STDY7800345,WA-0207,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19261-5563STDY7800349,WA-0211,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19262-5563STDY7800350,WA-0212,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19265-5563STDY7800353,WA-0215,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19268-5563STDY7800356,WA-0218,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19269-5563STDY7800357,WA-0219,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19270-5563STDY7800358,WA-0220,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19271-5563STDY7800359,WA-0221,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19272-5563STDY7800360,WA-0222,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19273-5563STDY7800361,WA-0223,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19277-5563STDY7800365,WA-0227,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19278-5563STDY7800366,WA-0228,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19279-5563STDY7800367,WA-0229,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19284-5563STDY7800372,WA-0234,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19285-5563STDY7800373,WA-0235,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19286-5563STDY7800374,WA-0236,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19287-5563STDY7800375,WA-0237,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19289-5563STDY7800377,WA-0239,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19292-5563STDY7800380,WA-0242,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19293-5563STDY7800381,WA-0243,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19294-5563STDY7800382,WA-0244,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19295-5563STDY7800383,WA-0245,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19296-5563STDY7800384,WA-0246,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19297-5563STDY7800385,WA-0247,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19299-5563STDY7800387,WA-0249,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19301-5563STDY7800389,WA-0251,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19302-5563STDY7800390,WA-0252,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19303-5563STDY7800391,WA-0253,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19305-5563STDY7800393,WA-0255,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19306-5563STDY7800394,WA-0256,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19307-5563STDY7800395,WA-0257,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19308-5563STDY7800396,WA-0258,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19309-5563STDY7800397,WA-0259,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19310-5563STDY7800398,WA-0260,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19311-5563STDY7800399,WA-0261,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19312-5563STDY7800400,WA-0262,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19316-5563STDY7800404,WA-0266,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
VBS19319-5563STDY7800407,WA-0269,Alexander Egyir-Yawson,Ghana,Obuasi,2017,9,6.200,-1.683,F
