sample_id,aim_fraction_colu,aim_fraction_arab,species_gambcolu_arabiensis,species_gambiae_coluzzii
VBS19363-5563STDY7800450,0.028,0.002,gamb_colu,gambiae
VBS19364-5563STDY7800451,0.033,0.002,gamb_colu,gambiae
VBS19367-5563STDY7800454,0.023,0.002,gamb_colu,gambiae
VBS19368-5563STDY7800455,0.029,0.002,gamb_colu,gambiae
VBS19369-5563STDY7800456,0.025,0.002,gamb_colu,gambiae
VBS19370-5563STDY7800457,0.035,0.002,gamb_colu,gambiae
VBS19371-5563STDY7800458,0.030,0.002,gamb_colu,gambiae
VBS19372-5563STDY7800459,0.034,0.002,gamb_colu,gambiae
VBS19376-5563STDY7800462,0.032,0.002,gamb_colu,gambiae
VBS19378-5563STDY7800464,0.037,0.002,gamb_colu,gambiae
VBS19385-5563STDY7800471,0.021,0.002,gamb_colu,gambiae
VBS19386-5563STDY7800472,0.041,0.002,gamb_colu,gambiae
VBS19389-5563STDY7800475,0.031,0.002,gamb_colu,gambiae
VBS19391-5563STDY7800476,0.032,0.003,gamb_colu,gambiae
VBS19392-5563STDY7800477,0.039,0.002,gamb_colu,gambiae
VBS19393-5563STDY7800478,0.044,0.002,gamb_colu,gambiae
VBS19394-5563STDY7800479,0.018,0.003,gamb_colu,gambiae
VBS19396-5563STDY7800481,0.059,0.002,gamb_colu,gambiae
VBS19397-5563STDY7800482,0.026,0.002,gamb_colu,gambiae
VBS19398-5563STDY7800483,0.025,0.002,gamb_colu,gambiae
VBS19399-5563STDY7800484,0.033,0.002,gamb_colu,gambiae
VBS19400-5563STDY7800485,0.022,0.002,gamb_colu,gambiae
VBS19402-5563STDY7800487,0.035,0.002,gamb_colu,gambiae
VBS19403-5563STDY7800488,0.032,0.002,gamb_colu,gambiae
VBS19406-5563STDY7800491,0.035,0.002,gamb_colu,gambiae
VBS19407-5563STDY7800492,0.064,0.002,gamb_colu,gambiae
VBS19408-5563STDY7800493,0.066,0.002,gamb_colu,gambiae
VBS19410-5563STDY7800495,0.025,0.003,gamb_colu,gambiae
VBS19411-5563STDY7800496,0.025,0.002,gamb_colu,gambiae
VBS19412-5563STDY7800497,0.020,0.002,gamb_colu,gambiae
VBS19413-5563STDY7800498,0.103,0.003,gamb_colu,gambiae
VBS19414-5563STDY7800499,0.025,0.002,gamb_colu,gambiae
VBS19415-5563STDY7800500,0.026,0.002,gamb_colu,gambiae
VBS19417-5563STDY7800502,0.028,0.002,gamb_colu,gambiae
VBS19418-5563STDY7800503,0.022,0.002,gamb_colu,gambiae
VBS19419-5563STDY7800504,0.019,0.002,gamb_colu,gambiae
VBS19420-5563STDY7800505,0.068,0.002,gamb_colu,gambiae
VBS19421-5563STDY7800506,0.035,0.002,gamb_colu,gambiae
VBS19422-5563STDY7800507,0.023,0.002,gamb_colu,gambiae
VBS19423-5563STDY7800508,0.040,0.002,gamb_colu,gambiae
VBS19426-5563STDY7800511,0.030,0.002,gamb_colu,gambiae
VBS19432-5563STDY7800517,0.022,0.002,gamb_colu,gambiae
VBS19437-5563STDY7800524,0.021,0.002,gamb_colu,gambiae
VBS19440-5563STDY7800527,0.028,0.002,gamb_colu,gambiae
VBS19441-5563STDY7800528,0.063,0.002,gamb_colu,gambiae
VBS19444-5563STDY7800531,0.038,0.002,gamb_colu,gambiae
VBS19449-5563STDY7800536,0.066,0.002,gamb_colu,gambiae
VBS19450-5563STDY7800537,0.017,0.002,gamb_colu,gambiae
VBS19451-5563STDY7800538,0.029,0.002,gamb_colu,gambiae
VBS19452-5563STDY7800539,0.025,0.002,gamb_colu,gambiae
VBS19453-5563STDY7800540,0.018,0.002,gamb_colu,gambiae
VBS19455-5563STDY7800542,0.025,0.002,gamb_colu,gambiae
VBS19457-5563STDY7800544,0.034,0.002,gamb_colu,gambiae
VBS19458-5563STDY7800545,0.028,0.002,gamb_colu,gambiae
VBS19459-5563STDY7800546,0.052,0.002,gamb_colu,gambiae
VBS19460-5563STDY7800547,0.071,0.002,gamb_colu,gambiae
VBS19462-5563STDY7800549,0.029,0.002,gamb_colu,gambiae
VBS19463-5563STDY7800550,0.017,0.002,gamb_colu,gambiae
VBS19464-5563STDY7800551,0.053,0.002,gamb_colu,gambiae
VBS19465-5563STDY7800552,0.026,0.002,gamb_colu,gambiae
VBS19466-5563STDY7800553,0.030,0.003,gamb_colu,gambiae
VBS19467-5563STDY7800554,0.034,0.002,gamb_colu,gambiae
VBS19468-5563STDY7800555,0.028,0.002,gamb_colu,gambiae
VBS19471-5563STDY7800558,0.021,0.002,gamb_colu,gambiae
VBS19474-5563STDY7800561,0.016,0.002,gamb_colu,gambiae
VBS19484-5563STDY7800571,0.025,0.002,gamb_colu,gambiae
