sample.id	country	location	latitude	longitude	collection.date	species	insecticide	concentration	exposure.time	phenotype	sib.group.id	exclude.as.sib	sample.accession	run.accession
WA-0111	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041382	ERR3290105,ERR3290141,ERR3290177
WA-0112	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041383	ERR3270014,ERR3270050,ERR3270086
WA-0114	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	12	TRUE	ERS3041385	ERR3289999,ERR3290035,ERR3290071
WA-0115	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	13	TRUE	ERS3041386	ERR3311708,ERR3311744,ERR3311780
WA-0117	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041388	ERR3312388,ERR3312424,ERR3312460
WA-0118	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	12	FALSE	ERS3041389	ERR3290101,ERR3290137,ERR3290173
WA-0120	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041391	ERR3289979,ERR3290015,ERR3290051
WA-0123	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041394	ERR3290197,ERR3290233,ERR3311420
WA-0124	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041395	ERR3290260,ERR3290296,ERR3311447
WA-0125	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041396	ERR3289789,ERR3289825,ERR3289861
WA-0126	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041397	ERR3290362,ERR3290398,ERR3290434
WA-0127	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041398	ERR3290269,ERR3290305,ERR3311456
WA-0128	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	14	TRUE	ERS3041399	ERR3269996,ERR3270032,ERR3270068
WA-0129	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	12	TRUE	ERS3041400	ERR3311617,ERR3311653,ERR3311689
WA-0130	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	15	TRUE	ERS3041401	ERR3311508,ERR3311544,ERR3311580
WA-0131	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041402	ERR3282686,ERR3282722,ERR3282758
WA-0132	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive	16	FALSE	ERS3041403	ERR3290199,ERR3290235,ERR3311422
WA-0133	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041404	ERR3290343,ERR3290379,ERR3290415
WA-0134	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041405	ERR3259473,ERR3259509,ERR3259545
WA-0135	Ghana	Madina	5.683	-0.166	12/01/2017	gambiae	Delta	10	60	alive		FALSE	ERS3041406	ERR3289986,ERR3290022,ERR3290058
