specimen	species	location	country	insecticide	concentration	exposure_time	phenotype	plate
WA-0149	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0150	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0151	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0152	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0153	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0154	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0155	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0156	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0157	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0158	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0159	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0160	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0161	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0162	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0163	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0164	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0165	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0166	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0167	gambiae	Madina	Ghana	Delta	10	60	alive	WGS_PL2
WA-0168	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0169	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0170	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0171	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
WA-0172	gambiae	Obuasi	Ghana	Delta	2	60	dead	WGS_PL3
