	sample_id	partner_sample_id	contributor	country	location	year	month	latitude	longitude	sex_call	species_gambiae_coluzzii	aim_fraction_colu	species	insecticide	concentration	exposure_time	phenotype	plate
68	VBS19145-5563STDY7800229	WA-0095	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.037	gambiae	Delta	10.0	60	alive	WGS_PL2
69	VBS19149-5563STDY7800235	WA-0099	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.026	gambiae	Delta	10.0	60	alive	WGS_PL2
70	VBS19150-5563STDY7800236	WA-0100	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.022	gambiae	Delta	10.0	60	alive	WGS_PL2
71	VBS19152-5563STDY7800238	WA-0102	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.022	gambiae	Delta	10.0	60	alive	WGS_PL2
72	VBS19154-5563STDY7800240	WA-0104	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.047	gambiae	Delta	10.0	60	alive	WGS_PL2
73	VBS19155-5563STDY7800241	WA-0105	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.022	gambiae	Delta	10.0	60	alive	WGS_PL2
74	VBS19156-5563STDY7800242	WA-0106	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.027	gambiae	Delta	10.0	60	alive	WGS_PL2
75	VBS19157-5563STDY7800243	WA-0107	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.036	gambiae	Delta	10.0	60	alive	WGS_PL2
76	VBS19158-5563STDY7800244	WA-0108	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.026	gambiae	Delta	10.0	60	alive	WGS_PL2
77	VBS19159-5563STDY7800245	WA-0109	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.031	gambiae	Delta	10.0	60	alive	WGS_PL2
78	VBS19160-5563STDY7800246	WA-0110	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.059	gambiae	Delta	10.0	60	alive	WGS_PL2
79	VBS19161-5563STDY7800247	WA-0111	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.02	gambiae	Delta	10.0	60	alive	WGS_PL2
80	VBS19162-5563STDY7800248	WA-0112	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.023	gambiae	Delta	10.0	60	alive	WGS_PL2
81	VBS19164-5563STDY7800250	WA-0114	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.017	gambiae	Delta	10.0	60	alive	WGS_PL2
82	VBS19165-5563STDY7800251	WA-0115	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.025	gambiae	Delta	10.0	60	alive	WGS_PL2
83	VBS19167-5563STDY7800253	WA-0117	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.057	gambiae	Delta	10.0	60	alive	WGS_PL2
84	VBS19168-5563STDY7800254	WA-0118	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.012	gambiae	Delta	10.0	60	alive	WGS_PL2
85	VBS19170-5563STDY7800256	WA-0120	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.018	gambiae	Delta	10.0	60	alive	WGS_PL2
86	VBS19173-5563STDY7800259	WA-0123	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.054	gambiae	Delta	10.0	60	alive	WGS_PL2
87	VBS19174-5563STDY7800260	WA-0124	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.024	gambiae	Delta	10.0	60	alive	WGS_PL2
88	VBS19175-5563STDY7800261	WA-0125	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.031	gambiae	Delta	10.0	60	alive	WGS_PL2
89	VBS19176-5563STDY7800262	WA-0126	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.073	gambiae	Delta	10.0	60	alive	WGS_PL2
90	VBS19177-5563STDY7800263	WA-0127	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.036	gambiae	Delta	10.0	60	alive	WGS_PL2
91	VBS19178-5563STDY7800264	WA-0128	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.059	gambiae	Delta	10.0	60	alive	WGS_PL2
92	VBS19179-5563STDY7800265	WA-0129	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.028	gambiae	Delta	10.0	60	alive	WGS_PL2
93	VBS19180-5563STDY7800266	WA-0130	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.056	gambiae	Delta	10.0	60	alive	WGS_PL2
94	VBS19181-5563STDY7800267	WA-0131	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.036	gambiae	Delta	10.0	60	alive	WGS_PL2
95	VBS19182-5563STDY7800268	WA-0132	Alexander Egyir-Yawson	Ghana	Madina	2017	12	5.683	-0.166	F	gambiae	0.023	gambiae	Delta	10.0	60	alive	WGS_PL2
